1 0 1542800367.947576

2 0 1542800368.447460

3 2 1542800368.948430
6  595.518974 2024.511967 1.371680 0.013700 1.199720 0.096869 0.008148 0.272483 0.002890 2.216414 5.232345 2.121000 -0.027245 0.007646
11  608.100835 2021.122852 0.613166 0.468466 -0.238880 0.134578 0.099808 -0.068222 0.028399 1.885697 4.081984 1.544000 -2.144991 0.006104

4 4 1542800369.448339
6  595.527859 2025.179813 1.420828 0.017773 1.335936 0.098313 0.008148 0.272483 0.002890 2.216414 5.232345 2.121000 -0.023423 0.007646
11  607.561344 2020.709999 0.737150 -0.444950 -0.606365 0.208615 -0.192607 -0.169420 0.046563 1.845925 4.039530 1.544000 -2.138939 0.007911
20  597.357357 2007.842808 1.242802 0.123886 4.529566 0.187828 0.107642 0.721367 0.026493 1.906840 5.092089 1.595000 1.499708 -0.072501
23  589.113710 2026.151091 1.733672 0.421383 -0.266291 0.164043 0.115312 -0.085910 0.025766 2.128031 4.487581 1.718000 -0.557680 -0.033317

5 5 1542800369.949334
6  595.538809 2025.917503 1.470808 0.021855 1.472449 0.099761 0.008148 0.272483 0.002890 2.216414 5.232345 2.121000 -0.019592 0.007646
11  607.534024 2021.232037 0.859917 -0.252507 0.337275 0.239719 -0.087291 0.205468 0.049398 1.857877 3.964598 1.544000 -2.121482 0.016636
20  598.316617 2010.439893 1.261880 1.227222 5.067926 0.102606 0.426360 0.775111 -0.003422 1.977682 5.088636 1.595000 1.384417 -0.120093
23  589.165709 2026.027223 1.796131 0.252365 -0.271819 0.145363 0.046433 -0.074517 0.016173 2.126764 4.482131 1.718000 -0.552475 -0.020121
31  610.436055 2024.947891 0.565304 -0.826978 -0.447574 0.404637 -0.176774 -0.104961 0.074596 2.108133 4.544279 1.636000 -2.120033 0.018561

6 6 1542800370.450291
11  605.382167 2022.005197 1.079645 -2.676180 1.096693 0.368102 -1.003065 0.458076 0.089276 1.868864 4.098336 1.550000 0.242648 1.572613
20  600.080238 2014.374294 1.257984 2.674452 6.878410 0.036432 0.876073 1.293556 -0.026920 1.946819 5.066408 1.595000 1.144116 -0.236549
23  588.473179 2026.072149 1.910769 -0.707897 -0.072570 0.198175 -0.312101 0.011726 0.032471 2.111185 4.472999 1.718000 -0.467069 0.041608
31  610.505103 2025.225058 0.796464 -0.279391 0.136026 0.453741 0.016479 0.088304 0.078161 2.133207 4.503104 1.636000 -2.102146 0.023736
48  595.559432 2024.013623 1.750281 -0.088224 -0.023298 0.234180 -0.024139 0.056568 0.038488 2.169575 5.179456 2.121000 0.017557 -0.026117
53  642.319306 1956.900104 0.692372 -1.698433 1.302198 0.258527 -0.237588 0.082574 0.048363 2.052174 4.782244 1.592000 2.391730 -0.002480

7 6 1542800370.949037
11  603.797922 2022.666114 1.285441 -3.176455 1.325157 0.412628 -1.003065 0.458076 0.089276 1.868864 4.098336 1.550000 1.026983 1.572613
20  601.249632 2017.592771 1.267349 2.656704 6.888775 0.020498 0.701270 1.049512 -0.027884 1.975720 5.044756 1.595000 1.031612 -0.232936
23  589.125611 2026.480806 2.038545 0.424316 0.458753 0.239174 0.183019 0.213743 0.042007 1.945355 4.458114 1.718000 -0.467195 0.027827
31  610.080756 2025.515385 0.874804 -0.613822 0.417729 0.294312 -0.108312 0.174859 0.005900 2.075559 4.515946 1.636000 -2.144181 -0.011068
48  595.710336 2024.194586 1.864871 0.142215 0.220361 0.239158 0.049428 0.121934 0.034174 2.220606 5.221510 2.121000 -0.043113 -0.054800
53  639.558834 1958.988179 0.831319 -4.079721 3.073856 0.280181 -0.923723 0.607297 0.047614 2.055843 4.739374 1.592000 2.396884 0.001307

8 8 1542800371.448359
11  601.961762 2023.442002 1.513733 -3.677308 1.553884 0.457205 -1.003065 0.458076 0.089276 1.868864 4.098336 1.550000 1.812224 1.572613
20  604.101091 2020.878173 1.196244 4.613613 6.917749 -0.081956 1.320809 0.858620 -0.062020 1.923238 5.062275 1.595000 0.941219 -0.215703
23  589.754054 2025.843682 2.148549 0.957170 -0.528818 0.236472 0.353242 -0.208202 0.032878 1.928038 4.519956 1.718000 -0.529927 -0.023124
31  609.747257 2025.767563 1.023232 -0.667905 0.505040 0.297258 -0.108312 0.174859 0.005900 2.075559 4.515946 1.636000 -2.149707 -0.011068
