41
1  14  1542800367.947576
608.858751 2011.052220 -1.557497
1  624.793449 1962.665288 1.036000  1.775820 4.935345 1.673000  2.442492
2  610.938903 2024.870728 0.253000  2.291347 4.466672 1.636000  -2.143238
3  615.394034 1981.131237 0.787000  1.956551 4.960282 1.749000  2.423754
4  616.102711 2038.585179 -0.469000  2.162398 4.556085 1.679000  0.981765
5  598.297939 1999.509063 0.850000  2.104508 4.876703 1.595000  1.999452
6  595.579096 2024.182869 1.163000  2.272465 5.241465 2.121000  0.035710
7  597.300845 2007.001496 0.863000  1.966774 4.394056 1.564000  1.522455
8  627.095069 1977.999423 0.976000  2.079509 4.481472 1.570000  -0.529473
9  616.633787 1996.568290 0.788000  2.130177 4.510368 1.650000  -0.719964
10  600.611702 2016.356621 0.893000  1.902682 4.573506 1.638000  1.127908
11  608.244756 2021.138796 0.511000  1.856040 4.225869 1.544000  -2.174418
12  630.746627 2057.525207 -2.321000  1.927681 4.806152 1.553000  0.935650
13  628.220644 1969.320174 1.056000  1.683280 4.751615 1.641000  2.446101
14  640.589941 1970.412260 1.143000  1.940416 4.699626 1.490000  -0.847021

2  16  1542800368.447460
609.227471 2007.957511 -1.320414
1  619.739883 1969.043906 0.736000  1.793225 5.295483 1.673000  2.374958
2  643.378004 1956.762684 0.186000  1.727276 4.886729 1.613000  2.311130
3  610.922266 2024.528830 0.303000  2.039159 4.237223 1.636000  -2.162581
4  643.695072 1945.671870 0.736000  2.848404 4.764595 1.792000  2.431828
5  612.760775 1984.112347 0.810000  2.370111 4.827648 1.749000  2.329888
6  619.105908 2042.684159 -1.204000  2.291080 4.637252 1.679000  1.000705
7  597.561942 2002.562268 0.999000  1.899072 5.012473 1.595000  1.741843
8  595.742688 2024.111190 1.363000  2.128647 5.255708 2.121000  0.080806
9  597.957249 2009.457703 0.984000  1.825621 4.502762 1.564000  1.409610
10  632.135122 1973.868901 1.028000  2.008685 4.793455 1.570000  -0.691035
11  589.066771 2026.227769 1.541000  2.132047 4.432762 1.718000  -0.488551
12  619.360767 1994.067355 0.600000  2.244560 4.501148 1.650000  -0.670623
13  602.538447 2019.006722 0.943000  2.078212 4.609989 1.638000  1.045364
14  607.993119 2021.103098 0.511000  1.854758 4.069557 1.544000  -2.099309
15  633.211151 2062.211378 -2.721000  1.926205 5.030184 1.553000  1.042732
16  624.889872 1973.105927 0.772000  2.212609 4.538784 1.641000  2.420460

3  18  1542800368.948430
610.384463 2004.811594 -1.098554
1  613.415456 1974.765589 0.786000  2.081892 4.881410 1.673000  2.422445
2  681.092881 1919.312639 0.626000  2.111603 5.143535 1.582000  2.460252
3  640.500182 1960.353181 0.337000  2.438317 4.773886 1.613000  2.461747
4  610.785664 2025.378580 0.175000  1.918404 4.701133 1.636000  -2.130902
5  538.982390 2058.757750 2.780000  1.711622 4.840085 1.844000  -0.707601
6  636.597107 1951.817579 0.736000  2.116340 4.767504 1.792000  2.308541
7  609.512616 1987.304602 0.833000  2.254593 4.977176 1.749000  2.313439
8  622.153649 2048.446551 -1.941000  2.172351 4.268559 1.679000  0.964580
9  597.189900 2005.312317 1.149000  2.007451 5.203850 1.595000  1.544964
10  596.238480 2024.534325 1.363000  2.212237 5.325200 2.121000  -0.064037
11  599.463529 2012.752383 0.999000  2.076523 4.380838 1.564000  1.204506
12  636.826389 1969.150970 0.328000  1.730430 4.779735 1.570000  -0.705261
13  588.559179 2026.444526 1.642000  2.205946 4.475149 1.718000  -0.562766
14  622.888465 1991.108324 0.513000  2.140852 4.498450 1.650000  -0.733066
15  604.528913 2022.035568 0.929000  2.124093 4.747959 1.638000  0.923960
16  607.428664 2020.987427 0.628000  1.779531 4.148760 1.544000  -2.142985
17  647.660058 1952.923181 0.447000  2.224545 4.233514 1.592000  2.551388
18  621.799327 1975.594143 0.689000  2.187442 4.551270 1.641000  2.378940

4  18  1542800369.448339
612.235641 2001.769059 -0.917523
1  606.940040 1980.869824 0.736000  1.701195 5.010986 1.673000  2.390990
2  678.264923 1919.655820 0.637000  1.990537 4.868707 1.582000  2.276978
3  637.233836 1961.647994 0.487000  1.913235 5.028204 1.613000  2.388776
4  610.695573 2025.097419 0.298000  2.274325 4.286973 1.636000  -2.102014
5  549.507060 2055.202810 2.929000  1.778133 4.603613 1.844000  -0.785622
6  631.642838 1956.932830 0.537000  2.045091 4.899379 1.792000  2.266775
7  605.572622 1990.170776 0.856000  2.112586 5.079571 1.749000  2.463481
8  656.559679 1941.911478 0.660000  2.199118 4.401022 1.659000  1.917056
9  597.599971 2008.239671 1.249000  2.060773 5.121411 1.595000  1.491704
10  595.062209 2024.322450 1.488000  2.008995 5.115993 2.121000  -0.036406
11  601.458476 2016.219870 1.031000  1.959314 4.246169 1.564000  1.104618
12  641.467325 1964.618336 0.279000  1.770880 4.255849 1.570000  -0.779216
13  589.016307 2026.174854 1.742000  2.091444 4.410421 1.718000  -0.526440
14  626.579917 1987.235058 0.525000  2.161478 4.496065 1.650000  -0.768364
15  606.002701 2025.903172 0.965000  1.938283 4.761600 1.638000  0.967111
16  607.740673 2021.132776 0.745000  1.854410 4.175359 1.544000  -2.191334
17  645.544632 1954.614996 0.448000  1.655580 4.862690 1.592000  2.315483
18  618.420199 1978.844940 0.731000  2.365191 4.678096 1.641000  2.339386

5  20  1542800369.949334
614.784636 1998.776777 -0.793150
1  601.244327 1986.798611 1.049000  2.092573 4.833301 1.673000  2.363631
2  674.193605 1921.791939 0.648000  2.997937 3.614883 1.582000  2.450760
3  634.977115 1964.120483 0.637000  2.387542 4.805894 1.613000  2.441993
4  610.654581 2025.406252 0.598000  1.970993 4.522255 1.636000  -2.162302
5  556.885451 2048.160918 2.729000  2.437565 4.122263 1.844000  -0.641408
6  625.940600 1961.845635 0.736000  2.300088 4.507952 1.792000  2.250510
7  603.552508 1992.738894 1.051000  2.393917 5.089560 1.749000  2.386509
8  654.658248 1945.622374 0.699000  2.319611 4.957291 1.659000  2.378998
9  598.299326 2010.730435 1.249000  2.102759 5.167163 1.595000  1.350886
10  595.202910 2023.936648 1.613000  1.890599 5.277835 2.121000  0.008925
11  651.172259 1942.621235 0.139000  1.914130 5.625395 2.000000  2.629158
12  603.042023 2019.078417 1.062000  1.975895 4.457993 1.564000  1.018201
13  646.765323 1960.503029 0.231000  2.404093 4.641342 1.570000  -0.714563
14  589.060606 2026.282573 1.792000  2.065451 4.531290 1.718000  -0.554612
15  629.882687 1984.125905 0.450000  2.014142 4.678304 1.650000  -0.779798
16  607.835453 2028.601625 0.751000  2.002487 4.508249 1.638000  0.934962
17  665.514592 1934.205151 0.425000  1.915764 4.943210 1.615000  2.341991
18  607.717113 2021.615816 0.861000  1.561989 4.045978 1.544000  -2.162824
