41
1  14  1542800367.947576
608.858751 2011.052220 -1.557497
1  625.361584 1962.921111 1.036000  1.778183 4.868611 1.673000  2.302061
2  611.079472 2024.111362 0.253000  2.035341 4.634697 1.636000  -2.174396
3  616.011513 1981.603551 0.787000  2.178150 4.936501 1.749000  2.482069
4  616.035271 2038.982422 -0.469000  2.100899 4.652668 1.679000  1.061546
5  598.359902 1999.306266 0.850000  1.785802 5.101995 1.595000  2.057665
6  595.549049 2023.749919 1.163000  2.149018 5.277267 2.121000  -0.029762
7  597.286964 2006.795018 0.863000  1.823817 4.349486 1.564000  1.467311
8  627.066347 1978.724027 0.976000  1.944241 4.482560 1.570000  -0.623950
9  616.220742 1996.233835 0.788000  2.256317 4.580262 1.650000  -0.770116
10  600.673880 2015.873402 0.893000  1.919579 4.553526 1.638000  1.174447
11  607.752527 2021.167048 0.511000  1.962795 4.152525 1.544000  -2.193815
12  630.204853 2057.919649 -2.321000  1.858051 4.372385 1.553000  1.044230
13  628.634357 1968.865472 1.056000  2.025936 4.516641 1.641000  2.368312
14  640.025225 1970.186760 1.143000  2.013868 3.916607 1.490000  -0.844212

2  16  1542800368.447460
609.227471 2007.957511 -1.320414
1  619.865817 1968.861364 0.736000  2.101236 4.928326 1.673000  2.446893
2  642.965613 1956.514854 0.186000  2.127893 4.619549 1.613000  2.337665
3  610.861029 2024.977327 0.303000  2.001718 4.408588 1.636000  -2.150562
4  643.255650 1946.183337 0.736000  1.347776 5.276778 1.792000  2.365626
5  612.681405 1984.671985 0.810000  2.159879 4.830791 1.749000  2.373653
6  619.738193 2043.926721 -1.204000  2.451889 4.411219 1.679000  1.073035
7  597.891429 2002.599063 0.999000  1.779218 5.101574 1.595000  1.729347
8  595.489148 2023.529809 1.363000  2.131209 5.215283 2.121000  -0.059679
9  598.393383 2009.729292 0.984000  2.069304 4.312985 1.564000  1.268703
10  632.168404 1973.880269 1.028000  2.334532 4.251134 1.570000  -0.754956
11  588.997362 2026.124131 1.541000  2.139918 4.540739 1.718000  -0.468613
12  619.632276 1993.829024 0.600000  2.180734 4.432199 1.650000  -0.788649
13  602.931683 2019.162481 0.943000  1.962915 4.648910 1.638000  1.057559
14  607.741676 2021.370024 0.511000  1.854622 4.026374 1.544000  -2.113360
15  633.120451 2062.555704 -2.721000  1.545792 4.273547 1.553000  1.055927
16  625.341509 1972.739345 0.772000  1.978181 4.723436 1.641000  2.348868

3  18  1542800368.948430
610.384463 2004.811594 -1.098554
1  613.603475 1974.999937 0.786000  1.912116 4.963566 1.673000  2.404064
2  677.404532 1919.366819 0.626000  2.232571 4.262769 1.582000  2.190430
3  640.360668 1958.625671 0.337000  2.051988 4.948876 1.613000  2.495490
4  611.046510 2025.206769 0.175000  2.151217 4.537067 1.636000  -2.181528
5  541.252651 2060.541356 2.780000  2.648850 3.802054 1.844000  -0.841883
6  637.894750 1951.579584 0.736000  1.912384 4.448554 1.792000  2.270746
7  609.659560 1987.213599 0.833000  2.032341 5.137522 1.749000  2.411318
8  622.241643 2048.152070 -1.941000  1.940033 4.450959 1.679000  1.051723
9  596.961077 2005.274822 1.149000  1.986127 5.146400 1.595000  1.554376
10  595.526282 2024.665514 1.363000  2.386137 5.170916 2.121000  -0.016282
11  599.231246 2012.901404 0.999000  1.919321 4.201474 1.564000  1.275855
12  637.163145 1969.470104 0.328000  1.997816 4.705878 1.570000  -0.755767
13  588.696039 2026.463395 1.642000  2.038280 4.388178 1.718000  -0.512268
14  622.392469 1990.851843 0.513000  2.170233 4.688708 1.650000  -0.723862
15  604.528628 2022.742606 0.929000  1.917470 4.538140 1.638000  1.044489
16  608.153523 2021.076875 0.628000  1.781524 4.005695 1.544000  -2.150604
17  647.782145 1951.949321 0.447000  2.795155 5.017948 1.592000  2.209629
18  621.888047 1975.578350 0.689000  2.197109 4.492753 1.641000  2.491626

4  18  1542800369.448339
612.235641 2001.769059 -0.917523
1  607.001293 1981.208021 0.736000  1.966531 4.865572 1.673000  2.438801
2  676.124148 1920.202610 0.637000  2.613239 4.766479 1.582000  1.931345
