3
1 1124 473 81 46 1
2 286 471 93 144 0
3 1224 486 129 61 1

4
1 1194 469 121 63 1
2 832 475 31 31 1
3 890 481 56 44 1
4 1541 487 106 98 1

3
1 1317 462 203 92 1
2 820 475 32 31 1
3 880 481 57 44 1

3
1 819 475 32 32 1
2 880 481 58 45 1
3 927 479 65 31 1

3
1 819 475 32 32 1
2 875 481 57 45 1
3 933 479 71 33 1

3
1 821 474 32 33 1
2 874 481 58 45 1
3 943 478 77 37 1

3
1 820 474 33 33 1
2 874 481 57 45 1
3 952 477 86 42 1

4
1 1145 482 92 46 1
2 826 474 33 34 1
3 879 481 57 45 1
4 971 477 94 46 1

5
1 1120 480 88 50 1
2 1237 481 130 60 1
3 829 474 34 34 1
4 884 481 56 44 1
5 991 476 106 53 1

5
1 1206 478 138 73 1
2 1396 480 234 91 1
3 826 474 34 34 1
4 878 481 57 44 1
5 1013 474 120 62 1

5
1 1443 473 179 135 1
2 294 475 95 123 1
3 831 474 34 35 1
4 880 481 58 44 1
5 1053 472 138 74 1

5
1 40 471 177 178 1
2 835 474 35 35 1
3 882 481 58 44 1
4 1281 483 174 77 1
5 1108 469 163 92 1

4
1 824 474 35 35 1
2 935 483 40 28 1
3 872 481 55 42 1
4 1174 465 195 120 1

4
1 813 474 36 35 1
2 932 483 44 31 1
3 862 481 53 41 1
4 1301 457 241 172 1

3
1 816 474 37 35 1
2 946 483 48 34 1
3 867 481 51 40 1

3
1 823 473 39 37 1
2 965 483 55 37 1
3 877 481 49 39 1

4
1 824 473 39 37 1
2 978 483 63 42 1
3 878 481 47 37 1
4 1028 484 45 34 1

4
1 824 473 39 37 1
2 993 483 75 47 1
3 877 481 46 36 1
4 1070 484 70 43 1

4
1 817 473 40 38 1
2 1005 482 91 56 1
3 870 481 44 35 1
4 1138 483 115 59 1

4
1 815 473 40 38 1
2 1029 482 113 66 1
3 869 481 44 35 1
4 1289 483 215 93 1

4
1 1033 480 102 65 1
2 814 473 39 38 1
3 1062 482 149 81 1
4 868 481 43 35 1

4
1 1081 479 113 78 1
2 814 473 40 39 1
3 1123 481 210 107 1
4 871 481 43 35 1

4
1 1153 478 132 96 1
2 815 472 41 40 1
3 1223 479 342 157 1
4 877 482 42 33 1

4
1 1285 476 151 124 1
2 823 472 42 41 1
3 1404 479 213 167 1
4 887 482 40 32 1

2
1 833 472 42 41 1
2 896 482 41 31 1

2
1 828 472 43 41 1
2 891 482 42 31 1

2
1 823 472 44 42 1
2 888 482 40 30 1

3
1 823 472 43 42 1
2 885 482 38 29 1
3 1066 464 74 59 1

3
1 820 471 42 44 1
2 880 482 36 28 1
3 1111 460 100 72 1

4
1 816 471 44 44 1
2 874 482 35 28 1
3 1184 453 146 94 1
4 1005 463 56 41 1

4
1 815 471 44 45 1
2 870 482 34 27 1
3 1315 439 245 136 1
4 1011 462 60 43 1

3
1 816 471 45 45 1
2 871 482 34 27 1
3 1020 460 66 47 1

3
1 811 471 46 46 1
2 866 482 34 26 1
3 1032 459 73 49 1

3
1 815 470 47 47 1
2 873 482 33 26 1
3 1053 456 83 55 1

3
1 818 470 46 48 1
2 875 482 33 25 1
3 1074 453 96 61 1

3
1 819 470 47 48 1
2 876 482 32 25 1
3 1096 449 112 69 1

3
1 814 470 48 49 1
2 870 482 32 25 1
3 1117 444 133 78 1

3
1 815 469 49 50 1
2 874 482 32 25 1
3 1158 437 161 92 1

4
1 1233 472 323 278 1
2 811 469 50 51 1
3 872 482 33 25 1
4 1203 428 201 110 1

4
1 1169 463 415 248 1
2 804 469 51 52 1
3 868 482 34 25 1
4 1263 413 266 140 1

